[2026-07-04T23:55:26.369Z] GET https://fonts.gstatic.com/s/poppins/v24/pxiByp8kv8JHgFVrLCz7Z1xlFQ.woff2 → 200 (5ms, -814B)
[2026-07-04T23:55:26.713Z] GET http://localhost:3000/pariscore.js?v=250625-34 → 200 (375ms, -367B)
[2026-07-04T23:55:26.830Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1pL7SUc.woff2 → 200 (1ms, -815B)
[2026-07-04T23:55:27.096Z] GET http://localhost:3000/assets/tennis-logos/map.json → 200 (14ms, -361B)
[2026-07-04T23:55:27.110Z] POST http://localhost:3000/api/v1/clientside-error → 204 (116ms, ?B)
[2026-07-04T23:55:27.162Z] GET http://localhost:3000/api/v1/tennis/player-photos → 200 (65ms, 6717B)
[2026-07-04T23:55:27.162Z] GET http://localhost:3000/leagues_config.json → 200 (66ms, -361B)
[2026-07-04T23:55:27.268Z] GET https://crests.football-data.org/PL.png → 200 (12ms, -294B)
[2026-07-04T23:55:27.269Z] GET https://crests.football-data.org/PD.png → 200 (15ms, -294B)
[2026-07-04T23:55:27.269Z] GET https://crests.football-data.org/SA.png → 200 (15ms, -294B)
[2026-07-04T23:55:27.270Z] GET https://crests.football-data.org/BL1.png → 200 (15ms, -293B)
[2026-07-04T23:55:27.270Z] GET https://crests.football-data.org/FL1.png → 200 (16ms, -294B)
[2026-07-04T23:55:27.270Z] GET https://crests.football-data.org/CL.png → 200 (17ms, -293B)
[2026-07-04T23:55:27.270Z] GET https://crests.football-data.org/EL.png → 200 (18ms, -294B)
[2026-07-04T23:55:27.270Z] GET https://media.api-sports.io/football/leagues/1.png → 200 (21ms, -982B)
[2026-07-04T23:55:32.094Z] GET http://localhost:3000/api/v1/tennis/rg-live-stream → 200 (5ms, ?B)
[2026-07-05T00:02:34.100Z] GET http://localhost:3000/ → pending (?ms, ?B)
[2026-07-05T00:02:37.532Z] GET https://fonts.googleapis.com/css2?family=DM+Mono:wght@400;500&family=JetBrains+Mono:wght@500;700;800&family=Plus+Jakarta+Sans:wght@500;600;700;800&family=Barlow+Condensed:ital,wght@0,600;0,700;0,800;0,900;1,700&family=Source+Sans+3:wght@300;400;500;600;700&family=Anton&family=Rajdhani:wght@600;700&family=Poppins:wght@400;500;600;700;800&family=Inter:wght@400;500;600;700&display=swap → 200 (?ms, -698B)
[2026-07-05T00:02:37.611Z] GET https://cdn.jsdelivr.net/npm/chart.js@4.4.0/dist/chart.umd.min.js → 200 (2ms, -671B)
[2026-07-05T00:02:37.614Z] GET https://cdn.jsdelivr.net/npm/marked@12.0.0/marked.min.js → 200 (?ms, -671B)
[2026-07-05T00:02:37.623Z] GET http://localhost:3000/locales/fr.json → 200 (78ms, -361B)
[2026-07-05T00:02:37.633Z] GET http://localhost:3000/assets/logo-wc2026.png → 200 (?ms, -218B)
[2026-07-05T00:02:37.633Z] GET http://localhost:3000/assets/pariscore-logo.svg → 200 (2ms, -358B)
[2026-07-05T00:02:37.691Z] GET https://fonts.gstatic.com/s/dmmono/v16/aFTU7PB1QTsUX8KYthqQBA.woff2 → 200 (4ms, -815B)
